size_pop,max_iter,prob_mut,best_distance,time
6.0,5.0,0.001,5780.301461641993,0.0038559436798095703
6.0,5.0,0.0025,5928.715845259692,0.004368782043457031
6.0,5.0,0.01,6239.751745308275,0.003634929656982422
6.0,5.0,0.1,5774.202717234536,0.004068613052368164
6.0,5.0,0.25,5486.5333495798595,0.013753652572631836
6.0,5.0,0.5,5696.531930269744,0.005026102066040039
6.0,5.0,1.0,5002.762098790415,0.012494087219238281
6.0,10.0,0.001,6182.622801527707,0.02085280418395996
6.0,10.0,0.0025,6190.706151909303,0.012540102005004883
6.0,10.0,0.01,6253.318827840279,0.008616447448730469
6.0,10.0,0.1,5408.905001836124,0.012752771377563477
6.0,10.0,0.25,5294.870976711629,0.013939619064331055
6.0,10.0,0.5,5188.09857588914,0.011504888534545898
6.0,10.0,1.0,4980.054315161296,0.0278928279876709
6.0,25.0,0.001,5507.618298919571,0.027535200119018555
6.0,25.0,0.0025,6425.774357801575,0.029476642608642578
6.0,25.0,0.01,6251.709952818062,0.03238344192504883
6.0,25.0,0.1,6262.845258495538,0.028869152069091797
6.0,25.0,0.25,4773.031703613211,0.03238654136657715
6.0,25.0,0.5,4425.08352094722,0.02945089340209961
6.0,25.0,1.0,4239.832746630376,0.05537819862365723
6.0,50.0,0.001,5574.954196320196,0.05619001388549805
6.0,50.0,0.0025,5802.059509625363,0.06351327896118164
6.0,50.0,0.01,5525.897100058389,0.05352044105529785
6.0,50.0,0.1,5507.740702512788,0.052007198333740234
6.0,50.0,0.25,4187.071990806912,0.053380727767944336
6.0,50.0,0.5,3727.998349348916,0.06338167190551758
6.0,50.0,1.0,3700.646651203881,0.061576128005981445
6.0,100.0,0.001,5821.6536782060175,0.09848833084106445
6.0,100.0,0.0025,5355.929460449062,0.09464836120605469
6.0,100.0,0.01,6028.729231373746,0.0947577953338623
6.0,100.0,0.1,4786.5025697343735,0.10115909576416016
6.0,100.0,0.25,2932.940619067265,0.10271716117858887
6.0,100.0,0.5,3291.1083126662797,0.11067748069763184
6.0,100.0,1.0,2830.502874112169,0.10942292213439941
6.0,250.0,0.001,5832.900114117493,0.22086477279663086
6.0,250.0,0.0025,5554.870883185568,0.22206640243530273
6.0,250.0,0.01,5069.237526456148,0.22073054313659668
6.0,250.0,0.1,3522.6383894276655,0.20792794227600098
6.0,250.0,0.25,2845.246580341637,0.2316274642944336
6.0,250.0,0.5,2238.684150479953,0.2316298484802246
6.0,250.0,1.0,2243.566417308726,0.2594306468963623
10.0,5.0,0.001,5999.157308045717,0.005795955657958984
10.0,5.0,0.0025,5713.415442447951,0.006919384002685547
10.0,5.0,0.01,5983.266974999794,0.01188349723815918
10.0,5.0,0.1,5327.930508409548,0.007228374481201172
10.0,5.0,0.25,5595.574173438571,0.014957427978515625
10.0,5.0,0.5,5631.929887073185,0.009173393249511719
10.0,5.0,1.0,4707.249483046359,0.01157999038696289
10.0,10.0,0.001,5764.675927205671,0.020106792449951172
10.0,10.0,0.0025,5383.999174005916,0.025066852569580078
10.0,10.0,0.01,5888.070545004163,0.018428325653076172
10.0,10.0,0.1,5714.562760931638,0.018930435180664062
10.0,10.0,0.25,4571.776546184436,0.018279552459716797
10.0,10.0,0.5,5289.562833166699,0.02533268928527832
10.0,10.0,1.0,5576.147539991198,0.02317667007446289
10.0,25.0,0.001,5771.624168429383,0.04398512840270996
