size_pop,max_iter,prob_mut,T,alpha,best_distance,time
6.0,5.0,0.001,0.001,0.001,4746.537231455086,0.004740715026855469
6.0,5.0,0.001,0.001,0.0025,5460.501922768076,0.004884481430053711
6.0,5.0,0.001,0.001,0.01,4986.217053331926,0.005099058151245117
6.0,5.0,0.001,0.001,0.1,5024.708506125744,0.012106180191040039
6.0,5.0,0.001,0.001,0.25,5753.069104321479,0.005323886871337891
6.0,5.0,0.001,0.001,0.5,4907.260435437451,0.010805606842041016
6.0,5.0,0.001,0.001,1.0,6012.458020234211,0.012815475463867188
6.0,5.0,0.001,0.0025,0.001,5317.2033642936485,0.02254652976989746
6.0,5.0,0.001,0.0025,0.0025,5623.976104032819,0.009800910949707031
6.0,5.0,0.001,0.0025,0.01,5533.251380819409,0.00787496566772461
6.0,5.0,0.001,0.0025,0.1,5356.115068528061,0.011953592300415039
6.0,5.0,0.001,0.0025,0.25,5226.279693665126,0.014738321304321289
6.0,5.0,0.001,0.0025,0.5,6046.35764412374,0.009485244750976562
6.0,5.0,0.001,0.0025,1.0,5504.335953225795,0.009021997451782227
6.0,5.0,0.001,0.01,0.001,5219.268405365264,0.014766216278076172
6.0,5.0,0.001,0.01,0.0025,5453.051916221586,0.012964487075805664
6.0,5.0,0.001,0.01,0.01,5401.640879339104,0.025475502014160156
6.0,5.0,0.001,0.01,0.1,5899.979849042033,0.009142160415649414
6.0,5.0,0.001,0.01,0.25,5585.999514070611,0.0070226192474365234
6.0,5.0,0.001,0.01,0.5,5490.63118786062,0.014117002487182617
6.0,5.0,0.001,0.01,1.0,5552.9388553244835,0.009504556655883789
6.0,5.0,0.001,0.1,0.001,5212.997515287794,0.01326608657836914
6.0,5.0,0.001,0.1,0.0025,5015.699877996996,0.013319969177246094
6.0,5.0,0.001,0.1,0.01,5110.744817042354,0.00902104377746582
6.0,5.0,0.001,0.1,0.1,5047.260083091241,0.013265609741210938
6.0,5.0,0.001,0.1,0.25,5606.677591896277,0.010782718658447266
6.0,5.0,0.001,0.1,0.5,5361.504648951547,0.009422063827514648
6.0,5.0,0.001,0.1,1.0,4919.94667283944,0.006374835968017578
6.0,5.0,0.001,0.25,0.001,5794.125046199695,0.015460491180419922
6.0,5.0,0.001,0.25,0.0025,5649.408449549029,0.012137174606323242
6.0,5.0,0.001,0.25,0.01,5107.007711679771,0.007827043533325195
6.0,5.0,0.001,0.25,0.1,5402.582919210632,0.01395869255065918
6.0,5.0,0.001,0.25,0.25,5349.973115575372,0.00854182243347168
6.0,5.0,0.001,0.25,0.5,6074.490655555661,0.011192083358764648
6.0,5.0,0.001,0.25,1.0,5136.535082472674,0.007639884948730469
6.0,5.0,0.001,0.5,0.001,5370.7879055259045,0.01245570182800293
6.0,5.0,0.001,0.5,0.0025,5757.483561820555,0.010465621948242188
6.0,5.0,0.001,0.5,0.01,5934.1139237180105,0.006128072738647461
6.0,5.0,0.001,0.5,0.1,5942.069608995047,0.008059263229370117
6.0,5.0,0.001,0.5,0.25,5563.224233298636,0.013262748718261719
6.0,5.0,0.001,0.5,0.5,5211.276781813216,0.005893707275390625
6.0,5.0,0.001,0.5,1.0,5538.205515121077,0.011863946914672852
6.0,5.0,0.001,0.75,0.001,5291.984445917548,0.01116943359375
6.0,5.0,0.001,0.75,0.0025,5020.258854490958,0.007650613784790039
6.0,5.0,0.001,0.75,0.01,5682.881593879927,0.009563207626342773
6.0,5.0,0.001,0.75,0.1,5730.885347729483,0.009914159774780273
6.0,5.0,0.001,0.75,0.25,4862.176804130485,0.009591102600097656
6.0,5.0,0.001,0.75,0.5,5547.457094298086,0.008008241653442383
6.0,5.0,0.001,0.75,1.0,5421.24410677795,0.010213851928710938
6.0,5.0,0.001,1.0,0.001,5282.505479898597,0.008567333221435547
6.0,5.0,0.001,1.0,0.0025,5794.440894683475,0.010107755661010742
6.0,5.0,0.001,1.0,0.01,5372.427222129858,0.010426044464111328
6.0,5.0,0.001,1.0,0.1,5597.819872375371,0.009070634841918945
6.0,5.0,0.001,1.0,0.25,5311.198397162434,0.00840616226196289
6.0,5.0,0.001,1.0,0.5,5125.205225322077,0.015596151351928711
6.0,5.0,0.001,1.0,1.0,5351.591330205785,0.012594461441040039
6.0,5.0,0.0025,0.001,0.001,4995.095543979253,0.011691808700561523
6.0,5.0,0.0025,0.001,0.0025,4447.306942967103,0.010291099548339844
6.0,5.0,0.0025,0.001,0.01,5349.299423148362,0.012043476104736328
6.0,5.0,0.0025,0.001,0.1,5942.325303680056,0.008813619613647461
6.0,5.0,0.0025,0.001,0.25,4914.868249087567,0.007378101348876953
6.0,5.0,0.0025,0.001,0.5,5083.86259528284,0.011233806610107422
6.0,5.0,0.0025,0.001,1.0,5162.872240268727,0.010398626327514648
6.0,5.0,0.0025,0.0025,0.001,5379.007763661672,0.010063648223876953
6.0,5.0,0.0025,0.0025,0.0025,4924.7176638073925,0.009066581726074219
6.0,5.0,0.0025,0.0025,0.01,4990.516419434601,0.01162862777709961
6.0,5.0,0.0025,0.0025,0.1,5230.238024411253,0.009031534194946289
6.0,5.0,0.0025,0.0025,0.25,5044.279590983417,0.008654356002807617
6.0,5.0,0.0025,0.0025,0.5,5762.835730885678,0.008391380310058594
