T_max,T_min,L,best_distance,time
6.0,1.0,5.0,2133.6391935598685,1.3611812591552734
6.0,1.0,10.0,2133.6391935598685,2.738197088241577
6.0,1.0,25.0,2133.6391935598685,6.740911483764648
6.0,1.0,50.0,2133.6391935598685,13.831326723098755
6.0,1.0,100.0,2133.6391935598685,27.25334119796753
6.0,1.0,250.0,2197.7825498955067,79.70057153701782
250.0,1.0,5.0,2117.504422089841,2.1974196434020996
250.0,1.0,10.0,2034.7741969644212,6.404705762863159
250.0,1.0,25.0,2062.9380907215586,13.763075351715088
250.0,1.0,50.0,2034.7741969644212,34.54530930519104
250.0,1.0,100.0,2058.9171357342557,49.28814768791199
250.0,1.0,250.0,2034.774196964421,118.21108937263489
250.0,5.0,5.0,2058.917135734256,4.144379377365112
250.0,5.0,10.0,2047.9028615748268,9.814992189407349
250.0,5.0,25.0,2047.9028615748266,36.557401180267334
250.0,5.0,50.0,2034.7741969644212,34.745694160461426
250.0,5.0,100.0,2034.774196964421,86.30540990829468
250.0,5.0,250.0,2034.7741969644212,283.7530584335327
250.0,10.0,5.0,2080.8656263020143,2.602417230606079
250.0,10.0,10.0,2034.774196964421,10.024258136749268
250.0,10.0,25.0,2064.4677311512105,13.340529441833496
250.0,10.0,50.0,2034.7741969644212,38.815430641174316
250.0,10.0,100.0,2040.3247923813756,57.36233687400818
250.0,10.0,250.0,2045.7884711238503,115.00431275367737
250.0,25.0,5.0,2034.774196964421,6.510812520980835
250.0,25.0,10.0,2034.7741969644212,8.999838590621948
250.0,25.0,25.0,2034.774196964421,17.058577299118042
250.0,25.0,50.0,2062.9380907215586,27.047045946121216
250.0,25.0,100.0,2034.7741969644212,91.6404914855957
250.0,25.0,250.0,2034.7741969644214,171.0435347557068
250.0,50.0,5.0,2330.7338787584217,0.6541421413421631
250.0,50.0,10.0,2382.859433184403,1.2408807277679443
250.0,50.0,25.0,2357.8519381372325,3.074500560760498
250.0,50.0,50.0,2153.02660473312,6.160125732421875
250.0,50.0,100.0,2151.391731392315,12.630598783493042
250.0,50.0,250.0,2172.0856020416195,31.75865912437439
250.0,125.0,5.0,4122.087460407551,0.022592782974243164
250.0,125.0,10.0,3522.9894368097907,0.043785810470581055
250.0,125.0,25.0,3373.317865205151,0.11815738677978516
250.0,125.0,50.0,3636.060979603976,0.22975945472717285
250.0,125.0,100.0,3417.2426462324734,0.4641122817993164
250.0,125.0,250.0,3290.8265266984017,1.1341123580932617
500.0,1.0,5.0,2418.605041327003,4.136795997619629
500.0,1.0,10.0,2531.2106520195284,10.735238552093506
500.0,1.0,25.0,2387.808237570789,22.274550676345825
500.0,1.0,50.0,2294.15840613757,35.7258198261261
500.0,1.0,100.0,2345.8844598847627,74.42015862464905
500.0,1.0,250.0,2072.8839098962612,493.9900472164154
500.0,5.0,5.0,2596.6956255424143,3.570861339569092
500.0,5.0,10.0,2476.609387629864,11.859563827514648
500.0,5.0,25.0,2252.165221178837,40.99445652961731
500.0,5.0,50.0,2337.5574807356593,36.862077474594116
500.0,5.0,100.0,2244.6178216211074,102.14081835746765
500.0,5.0,250.0,2263.396142272635,230.97803139686584
500.0,10.0,5.0,2409.947377114943,4.030607223510742
500.0,10.0,10.0,2572.3445982059916,7.84597110748291
500.0,10.0,25.0,2342.2602598013723,25.84583020210266
500.0,10.0,50.0,2241.7857060116753,50.60729503631592
500.0,10.0,100.0,2263.6218518973164,95.12988328933716
500.0,10.0,250.0,2134.1695605522636,337.21684670448303
500.0,25.0,5.0,2523.6033301552607,3.935499906539917
500.0,25.0,10.0,2398.405944927436,9.77432656288147
500.0,25.0,25.0,2290.3268232138626,28.963602304458618
500.0,25.0,50.0,2185.34596431518,41.98565745353699
500.0,25.0,100.0,2271.481993633459,86.39065265655518
250.0,1.0,5.0,2354.031573474852,4.156995058059692
250.0,1.0,10.0,2351.9189553750025,5.72804856300354
250.0,1.0,25.0,2250.493468604498,24.289808750152588
250.0,1.0,50.0,2265.7670293286387,38.341240644454956
250.0,5.0,5.0,2338.7297185390244,3.89605450630188
250.0,5.0,10.0,2267.9651304742506,10.673274993896484
250.0,5.0,25.0,2293.568431651893,23.292130708694458
250.0,5.0,50.0,2255.8373897939155,42.604881048202515
250.0,10.0,5.0,2371.287373742703,4.085149765014648
