,Test Name,Algo,Sample Size,Average,Stdev,% Err
0,S1-visit,3.0,64,3.76,2.00,0.49
1,S1-visit,0.0,61,5.00,4.69,1.18
2,S1-visit,1.0,62,3.91,2.06,0.51
3,S1-visit,2.0,67,3.95,2.12,0.51
4,S1-time,0.0,61,182.89,49.39,12.40
5,S1-time,1.0,62,184.44,52.14,12.98
6,S1-time,3.0,64,169.11,40.52,9.93
7,S1-time,2.0,67,185.04,41.64,9.97
8,S2-visit,0.0,33,13.20,3.89,1.33
9,S2-visit,1.0,33,12.32,3.61,1.23
10,S2-visit,2.0,34,14.39,5.76,1.94
11,S2-visit,3.0,31,13.36,3.14,1.11
12,S2-time,0.0,33,80.42,19.85,6.77
13,S2-time,1.0,33,85.57,19.34,6.60
14,S2-time,2.0,34,82.57,19.81,6.66
15,S2-time,3.0,31,80.11,18.21,6.41
16,S3-visit,0.0,31,4.73,1.90,0.67
17,S3-visit,1.0,33,4.74,1.91,0.65
18,S3-visit,2.0,34,4.98,1.93,0.65
19,S3-visit,3.0,31,4.64,1.98,0.70
20,S3-time,1.0,33,182.85,52.23,17.82
21,S3-time,0.0,31,176.18,42.06,14.80
22,S3-time,2.0,34,170.77,25.81,8.67
23,S3-time,3.0,31,161.94,43.48,15.31
24,S4-visit,0.0,40,11.81,6.94,2.15
25,S4-visit,1.0,43,10.90,6.20,1.85
26,S4-visit,2.0,44,11.95,6.62,1.96
27,S4-visit,3.0,42,13.16,7.48,2.26
28,S4-time,3.0,42,60.00,18.71,5.66
29,S4-time,1.0,42,57.03,18.89,5.71
30,S4-time,0.0,39,53.46,18.91,5.94
31,S4-time,2.0,43,56.71,20.80,6.22
32,S5-visit,3.0,31,3.96,2.43,0.85
33,S5-visit,2.0,32,3.99,2.08,0.72
34,S5-visit,0.0,29,4.11,2.46,0.89
35,S5-visit,1.0,33,3.50,1.61,0.55
36,S5-time,3.0,31,154.59,36.73,12.93
37,S5-time,1.0,33,156.73,44.98,15.35
38,S5-time,0.0,29,157.61,40.74,14.83
39,S5-time,2.0,32,138.83,43.17,14.96
40,S6-visit,0.0,39,8.75,5.12,1.61
41,S6-visit,1.0,43,7.68,4.57,1.37
42,S6-visit,3.0,42,9.14,4.25,1.28
43,S6-visit,2.0,40,9.13,4.67,1.45
44,S6-time,1.0,42,73.41,32.63,9.87
45,S6-time,2.0,40,76.37,35.06,10.86
46,S6-time,0.0,38,71.73,29.18,9.28
47,S6-time,3.0,42,76.04,28.63,8.66
