,Test Name,Algo,Sample Size,Average,Stdev,% Err
0,visit-1,3.0,8,6.04,1.44,0.17
1,visit-1,2.0,10,6.26,1.38,0.14
2,visit-1,0.0,11,7.38,3.86,0.31
3,visit-1,1.0,10,5.92,1.68,0.18
4,time-1,3.0,8,215.45,53.91,0.17
5,time-1,0.0,11,193.82,45.40,0.14
6,time-1,1.0,10,211.20,52.99,0.16
7,time-1,2.0,10,206.05,53.76,0.16
8,visit-2,2.0,5,7.07,1.38,0.17
9,visit-2,3.0,4,6.88,0.70,0.10
10,visit-2,0.0,7,8.99,4.17,0.34
11,visit-2,1.0,6,7.51,2.90,0.31
12,time-2,0.0,7,101.34,23.75,0.17
13,time-2,3.0,4,113.88,17.52,0.15
14,time-2,2.0,5,113.23,10.60,0.08
15,time-2,1.0,6,111.42,13.32,0.10
16,visit-3,0.0,5,7.98,1.61,0.18
17,visit-3,3.0,4,7.79,2.12,0.27
18,visit-3,2.0,5,8.14,0.70,0.08
19,visit-3,1.0,6,6.82,1.64,0.19
20,time-3,1.0,6,196.90,60.18,0.24
21,time-3,0.0,5,154.10,51.19,0.29
22,time-3,2.0,5,148.88,31.22,0.18
23,time-3,3.0,4,183.94,75.56,0.40
24,visit-4,0.0,5,1.28,0.18,0.12
25,visit-4,3.0,4,1.47,0.11,0.08
26,visit-4,1.0,6,1.33,0.23,0.14
27,visit-4,2.0,5,1.31,0.25,0.16
28,time-4,3.0,4,28.78,4.55,0.15
29,time-4,0.0,5,26.91,5.95,0.19
30,time-4,1.0,6,28.15,5.03,0.14
31,time-4,2.0,5,25.95,3.97,0.13
32,visit-5,3.0,4,7.79,1.43,0.18
33,visit-5,1.0,6,5.73,1.68,0.23
34,visit-5,2.0,5,6.58,1.59,0.21
35,visit-5,0.0,5,7.09,3.41,0.42
36,time-5,1.0,6,181.90,50.02,0.22
37,time-5,2.0,5,185.44,41.93,0.20
38,time-5,0.0,5,183.60,40.60,0.19
39,time-5,3.0,4,149.65,62.01,0.41
40,visit-6,3.0,4,1.30,0.12,0.09
41,visit-6,1.0,6,1.04,0.22,0.17
42,visit-6,0.0,5,1.23,0.23,0.17
43,visit-6,2.0,4,1.14,0.25,0.21
44,time-6,2.0,4,21.17,4.36,0.20
45,time-6,0.0,5,25.44,2.15,0.07
46,time-6,1.0,6,26.07,5.73,0.18
47,time-6,3.0,4,24.59,4.36,0.17
