,Test Name,targets,Algo,Sample Size,Average,Stdev,% Err
0,20_visits,20,1.0,8,18.96,1.10,0.04
1,20_visits,20,3.0,10,18.18,1.73,0.06
2,20_visits,20,2.0,10,19.84,1.93,0.06
3,20_visits,20,0.0,8,18.77,1.19,0.04
4,20_time,20,0.0,8,46.36,4.10,0.06
5,20_time,20,2.0,10,45.48,6.53,0.09
6,20_time,20,1.0,8,44.29,4.58,0.07
7,20_time,20,3.0,10,54.68,9.87,0.11
8,30_visits,30,0.0,8,12.21,0.63,0.04
9,30_visits,30,2.0,9,12.12,1.14,0.06
10,30_visits,30,3.0,10,12.25,1.03,0.05
11,30_visits,30,1.0,8,11.47,0.53,0.03
12,30_time,30,1.0,8,71.10,4.84,0.05
13,30_time,30,3.0,10,63.36,10.41,0.10
14,30_time,30,2.0,9,71.07,7.95,0.07
15,30_time,30,0.0,8,64.91,7.84,0.08
16,40_visits,40,2.0,9,8.96,0.80,0.06
17,40_visits,40,0.0,8,9.06,0.62,0.05
18,40_visits,40,1.0,8,8.73,0.56,0.04
19,40_visits,40,3.0,10,9.07,0.40,0.03
20,40_time,40,2.0,9,87.09,13.60,0.10
21,40_time,40,1.0,8,80.09,12.87,0.11
22,40_time,40,3.0,10,81.21,8.79,0.07
23,40_time,40,0.0,8,82.09,10.11,0.09
24,60_visits,60,1.0,8,5.69,0.42,0.05
25,60_visits,60,3.0,10,5.88,0.42,0.04
26,60_visits,60,0.0,8,6.12,0.32,0.04
27,60_visits,60,2.0,9,6.30,0.32,0.03
28,60_time,60,1.0,8,95.61,13.24,0.10
29,60_time,60,3.0,10,122.36,14.31,0.07
30,60_time,60,0.0,8,139.54,90.27,0.45
31,60_time,60,2.0,9,108.46,12.43,0.07
32,100_visits,100,0.0,8,3.30,0.08,0.02
33,100_visits,100,3.0,10,3.22,0.21,0.04
34,100_visits,100,1.0,8,2.70,0.56,0.14
35,100_visits,100,2.0,8,3.53,0.12,0.02
36,100_time,100,0.0,8,182.31,16.06,0.06
37,100_time,100,2.0,8,158.77,16.14,0.07
38,100_time,100,3.0,10,194.01,21.16,0.07
39,100_time,100,1.0,8,166.79,58.40,0.24
