size_pop,max_iter,prob_mut,best_distance,time
6.0,5.0,0.001,5295.969101295463,0.004374980926513672
6.0,5.0,0.0025,5024.434109529012,0.003033161163330078
6.0,5.0,0.01,5563.987144117472,0.003116130828857422
6.0,5.0,0.1,5147.13089736455,0.003993988037109375
6.0,5.0,0.25,5958.59456694328,0.004002094268798828
6.0,5.0,0.5,5383.161548289446,0.0035898685455322266
6.0,5.0,1.0,5020.018875108425,0.004046201705932617
6.0,10.0,0.001,5954.287300694038,0.008816957473754883
6.0,10.0,0.0025,5761.036056136955,0.008347034454345703
6.0,10.0,0.01,5665.576438394542,0.0063250064849853516
6.0,10.0,0.1,5671.413476402369,0.00593876838684082
6.0,10.0,0.25,4612.640568612704,0.006665945053100586
6.0,10.0,0.5,5350.572403769336,0.007766008377075195
6.0,10.0,1.0,4832.4098600055295,0.008209943771362305
6.0,25.0,0.001,5794.334106850787,0.01306915283203125
6.0,25.0,0.0025,5876.721003760337,0.01527094841003418
6.0,25.0,0.01,5349.606104170194,0.017627239227294922
6.0,25.0,0.1,4624.670986479961,0.023633956909179688
6.0,25.0,0.25,3879.9429952275846,0.016143083572387695
6.0,25.0,0.5,3952.8757052895503,0.02847003936767578
6.0,25.0,1.0,3777.2568756031815,0.025367021560668945
6.0,50.0,0.001,5861.4711483534975,0.038108110427856445
6.0,50.0,0.0025,5802.510105459074,0.0478363037109375
6.0,50.0,0.01,6087.872630224361,0.02939891815185547
6.0,50.0,0.1,4970.09880486699,0.033805131912231445
6.0,50.0,0.25,4193.9759402525,0.029892683029174805
6.0,50.0,0.5,3498.256621181768,0.03051304817199707
6.0,50.0,1.0,3419.8923448796145,0.03575706481933594
6.0,100.0,0.001,5186.77191503184,0.05401611328125
6.0,100.0,0.0025,5648.5873363652945,0.05624794960021973
6.0,100.0,0.01,4676.329612343553,0.056021928787231445
6.0,100.0,0.1,3781.6801909400215,0.08686113357543945
6.0,100.0,0.25,3211.300470760692,0.0673987865447998
6.0,100.0,0.5,2766.5973147826203,0.06883883476257324
6.0,100.0,1.0,2703.8488125675876,0.06667900085449219
6.0,250.0,0.001,5640.174463450223,0.14337515830993652
6.0,250.0,0.0025,5570.845615869957,0.15153813362121582
6.0,250.0,0.01,4695.582924716904,0.13339686393737793
6.0,250.0,0.1,3307.0171507040263,0.14118123054504395
6.0,250.0,0.25,2592.1329763880753,0.1445460319519043
6.0,250.0,0.5,2509.916179703322,0.15453696250915527
6.0,250.0,1.0,2379.408798976941,0.18012595176696777
6.0,500.0,0.001,5460.486336369666,0.2764561176300049
6.0,500.0,0.0025,5598.308141093797,0.26857709884643555
6.0,500.0,0.01,4748.641747010561,0.382004976272583
6.0,500.0,0.1,3233.3298159325395,0.31205201148986816
6.0,500.0,0.25,2480.328707550119,0.29528212547302246
6.0,500.0,0.5,2389.4836922669874,0.3023948669433594
6.0,500.0,1.0,2286.234026290358,0.33241772651672363
6.0,1000.0,0.001,4964.667362396994,0.5468258857727051
6.0,1000.0,0.0025,5132.652834658348,0.5704679489135742
6.0,1000.0,0.01,4522.378117076473,0.5674989223480225
6.0,1000.0,0.1,2564.466501191039,0.5509157180786133
6.0,1000.0,0.25,2377.2505034827373,0.5825629234313965
6.0,1000.0,0.5,2417.761290396178,0.6008367538452148
6.0,1000.0,1.0,2464.445620056275,0.6736619472503662
10.0,5.0,0.001,5072.81296913723,0.005070209503173828
10.0,5.0,0.0025,4152.088487095436,0.004364013671875
10.0,5.0,0.01,4950.227699223533,0.004715919494628906
10.0,5.0,0.1,5060.407411267638,0.004703044891357422
10.0,5.0,0.25,4752.5814719225655,0.005177974700927734
10.0,5.0,0.5,4869.095290587689,0.005739927291870117
10.0,5.0,1.0,4748.634287559203,0.006555795669555664
10.0,10.0,0.001,5006.225966504893,0.011883020401000977
10.0,10.0,0.0025,4883.475576574735,0.010089874267578125
10.0,10.0,0.01,5470.96063341021,0.009155988693237305
10.0,10.0,0.1,4878.261815209412,0.009429931640625
10.0,10.0,0.25,4522.069336514234,0.011327028274536133
10.0,10.0,0.5,4660.23327281891,0.012204170227050781
10.0,10.0,1.0,4627.683182625612,0.012218713760375977
10.0,25.0,0.001,5949.821841964916,0.021233320236206055
10.0,25.0,0.0025,4502.7222940183,0.022391080856323242
10.0,25.0,0.01,5015.837549583387,0.024451017379760742
10.0,25.0,0.1,4904.025855360865,0.026055097579956055
10.0,25.0,0.25,3926.904264478373,0.022969961166381836
10.0,25.0,0.5,3756.1297425522853,0.031084060668945312
10.0,25.0,1.0,3916.1120059348405,0.028531789779663086
10.0,50.0,0.001,5021.84206360338,0.045491933822631836
10.0,50.0,0.0025,4237.390687860481,0.06327605247497559
10.0,50.0,0.01,4501.035585709776,0.05202198028564453
10.0,50.0,0.1,4101.541996524128,0.04526185989379883
10.0,50.0,0.25,3722.857851575603,0.05841207504272461
10.0,50.0,0.5,3385.4581807475133,0.06846404075622559
10.0,50.0,1.0,2999.040037121578,0.05335092544555664
10.0,100.0,0.001,5839.412414770182,0.0907740592956543
10.0,100.0,0.0025,4933.954786931337,0.09362387657165527
10.0,100.0,0.01,4923.522238663085,0.08450603485107422
10.0,100.0,0.1,3367.1136300315356,0.1171729564666748
10.0,100.0,0.25,2824.9843516275996,0.09407401084899902
10.0,100.0,0.5,2899.678803091536,0.10370302200317383
10.0,100.0,1.0,2900.2855979800274,0.11346006393432617
10.0,250.0,0.001,4698.318814361772,0.2080380916595459
10.0,250.0,0.0025,5095.20877160768,0.21810507774353027
10.0,250.0,0.01,3555.0651373304972,0.22319412231445312
10.0,250.0,0.1,2871.5007824108684,0.2176520824432373
10.0,250.0,0.25,2562.7114900998113,0.22221994400024414
10.0,250.0,0.5,2459.6127285957473,0.2346348762512207
10.0,250.0,1.0,2295.412170249932,0.26533079147338867
10.0,500.0,0.001,4744.885852141906,0.41669702529907227
10.0,500.0,0.0025,4408.2265399010985,0.4116082191467285
10.0,500.0,0.01,4551.527325863769,0.42247700691223145
10.0,500.0,0.1,2737.101452605953,0.4462871551513672
10.0,500.0,0.25,2368.031935296886,0.46502089500427246
10.0,500.0,0.5,2484.1869377366534,0.46479296684265137
10.0,500.0,1.0,2314.01177390278,0.5283708572387695
10.0,1000.0,0.001,4342.355067323263,0.8429920673370361
10.0,1000.0,0.0025,4250.639828991069,0.8236861228942871
10.0,1000.0,0.01,3928.908971232996,0.8479454517364502
10.0,1000.0,0.1,2373.623558608486,0.8641877174377441
10.0,1000.0,0.25,2416.599498842038,0.889519214630127
10.0,1000.0,0.5,2317.396225121003,0.9548690319061279
10.0,1000.0,1.0,2360.5689539381874,1.0369529724121094
26.0,5.0,0.001,4724.296103300742,0.010320186614990234
26.0,5.0,0.0025,4586.2688107034255,0.010705947875976562
26.0,5.0,0.01,4346.562482219516,0.011095046997070312
26.0,5.0,0.1,4788.6468797531425,0.012335062026977539
26.0,5.0,0.25,4601.768924775301,0.013489246368408203
26.0,5.0,0.5,4418.085123980931,0.013905048370361328
26.0,5.0,1.0,4383.8703657067235,0.012547016143798828
26.0,10.0,0.001,5089.8306601568665,0.020840167999267578
26.0,10.0,0.0025,4385.04768770167,0.021762847900390625
26.0,10.0,0.01,4425.504731914769,0.02390289306640625
26.0,10.0,0.1,4591.480299324301,0.02556633949279785
26.0,10.0,0.25,4130.349318457846,0.021281003952026367
26.0,10.0,0.5,3696.8486499065725,0.025239229202270508
26.0,10.0,1.0,4515.900179064834,0.027106046676635742
26.0,25.0,0.001,4295.047985052361,0.05450010299682617
26.0,25.0,0.0025,4291.754332087427,0.05937790870666504
26.0,25.0,0.01,3966.9923439719882,0.051614999771118164
26.0,25.0,0.1,3912.4445413243243,0.05388593673706055
26.0,25.0,0.25,3743.7537020559307,0.056387901306152344
26.0,25.0,0.5,3539.1591037502444,0.06057906150817871
26.0,25.0,1.0,3663.671233417826,0.06182694435119629
26.0,50.0,0.001,4606.394623564523,0.1038510799407959
26.0,50.0,0.0025,3876.0995820492717,0.11320209503173828
26.0,50.0,0.01,4408.291551537187,0.10242319107055664
26.0,50.0,0.1,3251.599403624048,0.10988616943359375
26.0,50.0,0.25,2991.4673511417973,0.11135005950927734
26.0,50.0,0.5,2860.9231210562225,0.11845707893371582
26.0,50.0,1.0,3071.789844037852,0.126082181930542
26.0,100.0,0.001,4517.332624965521,0.2016448974609375
26.0,100.0,0.0025,3600.386670920029,0.21082401275634766
26.0,100.0,0.01,3702.7064877506837,0.20705223083496094
26.0,100.0,0.1,2901.6380720918314,0.21209502220153809
26.0,100.0,0.25,2531.2074118514083,0.2186267375946045
26.0,100.0,0.5,2550.0767229905546,0.236954927444458
26.0,100.0,1.0,2486.9781151823627,0.2562899589538574
26.0,250.0,0.001,3990.439249280712,0.5100209712982178
26.0,250.0,0.0025,3660.2210941813887,0.5213127136230469
26.0,250.0,0.01,3714.75118942297,0.5215580463409424
26.0,250.0,0.1,2441.6667471837823,0.5399169921875
26.0,250.0,0.25,2276.788396417836,0.5576250553131104
26.0,250.0,0.5,2533.9425186057956,0.5724489688873291
26.0,250.0,1.0,2333.348467450323,0.6294257640838623
26.0,500.0,0.001,4618.246953759504,1.0290968418121338
26.0,500.0,0.0025,3410.003928978926,1.0347950458526611
26.0,500.0,0.01,3134.785927334862,1.0394480228424072
26.0,500.0,0.1,2451.7532478211324,1.2283720970153809
26.0,500.0,0.25,2370.5190859537324,1.1048147678375244
26.0,500.0,0.5,2583.6062291325406,1.1496121883392334
26.0,500.0,1.0,2276.7883964178363,1.2664399147033691
26.0,1000.0,0.001,3850.552816915984,2.009570837020874
26.0,1000.0,0.0025,3414.723191486547,2.023224115371704
26.0,1000.0,0.01,2652.7414630064573,2.0273802280426025
26.0,1000.0,0.1,2306.430179376972,2.102238893508911
26.0,1000.0,0.25,2333.3484674503234,2.1677980422973633
26.0,1000.0,0.5,2313.454512778222,2.2625231742858887
26.0,1000.0,1.0,2456.656529717284,2.531388759613037
50.0,5.0,0.001,4486.407256964767,0.019830942153930664
50.0,5.0,0.0025,4673.0123446706875,0.025490999221801758
50.0,5.0,0.01,4050.185918370456,0.026903152465820312
50.0,5.0,0.1,4411.873649667176,0.019995927810668945
50.0,5.0,0.25,4586.056414425174,0.022346973419189453
50.0,5.0,0.5,4693.582887053208,0.023382902145385742
50.0,5.0,1.0,4679.734307422656,0.02463507652282715
50.0,10.0,0.001,3808.9477368310986,0.039877891540527344
50.0,10.0,0.0025,4128.010651105056,0.046860694885253906
50.0,10.0,0.01,4149.439017594443,0.045803070068359375
50.0,10.0,0.1,3907.2357617584894,0.042720794677734375
50.0,10.0,0.25,3876.113106765957,0.04249405860900879
50.0,10.0,0.5,4375.440390428914,0.04973888397216797
50.0,10.0,1.0,4262.706114223196,0.05973482131958008
50.0,25.0,0.001,3654.527741226472,0.09873723983764648
50.0,25.0,0.0025,3721.410999376974,0.0953369140625
50.0,25.0,0.01,3829.5648114128408,0.10639476776123047
50.0,25.0,0.1,3195.079944287778,0.10126805305480957
50.0,25.0,0.25,3380.796181000519,0.10378026962280273
50.0,25.0,0.5,3520.887658138972,0.11019396781921387
50.0,25.0,1.0,3452.6116115958966,0.1233968734741211
50.0,50.0,0.001,3677.7387152527563,0.1901111602783203
50.0,50.0,0.0025,3492.4886289064825,0.20000195503234863
50.0,50.0,0.01,3933.9528094320503,0.1979682445526123
50.0,50.0,0.1,3515.143550664901,0.1978609561920166
50.0,50.0,0.25,2873.3076859378507,0.20082306861877441
50.0,50.0,0.5,2746.303956278851,0.21255278587341309
50.0,50.0,1.0,2939.5928840902798,0.2427537441253662
50.0,100.0,0.001,4222.328502080333,0.39040064811706543
50.0,100.0,0.0025,3492.673978168935,0.38951706886291504
50.0,100.0,0.01,3624.531708173356,0.39370107650756836
50.0,100.0,0.1,2842.9878356557247,0.3895108699798584
50.0,100.0,0.25,2445.510562650142,0.4045109748840332
50.0,100.0,0.5,2276.788396417837,0.43762898445129395
50.0,100.0,1.0,2482.4169136524006,0.4899919033050537
50.0,250.0,0.001,3253.8519144383063,0.9379959106445312
50.0,250.0,0.0025,4186.527153895799,1.1890859603881836
50.0,250.0,0.01,3189.326003976895,1.335998296737671
50.0,250.0,0.1,2295.4121702499324,1.1601371765136719
50.0,250.0,0.25,2271.3358935943847,1.0211851596832275
50.0,250.0,0.5,2388.7074586691137,1.070451021194458
50.0,250.0,1.0,2306.4301793769723,1.2066419124603271
50.0,500.0,0.001,3420.955710225741,1.9059381484985352
50.0,500.0,0.0025,3287.6111040891565,1.8936471939086914
50.0,500.0,0.01,2868.4662881226463,1.9104151725769043
50.0,500.0,0.1,2334.0044977844877,1.932530164718628
50.0,500.0,0.25,2286.2340262903576,2.0269341468811035
50.0,500.0,0.5,2295.412170249932,2.1417551040649414
50.0,500.0,1.0,2379.4087989769405,2.3724470138549805
50.0,1000.0,0.001,3376.4181520402217,3.8024611473083496
50.0,1000.0,0.0025,2789.1312959984098,3.8072829246520996
50.0,1000.0,0.01,2594.2278848426195,3.7767560482025146
50.0,1000.0,0.1,2480.6729908345355,3.8983259201049805
50.0,1000.0,0.25,2370.6706141448735,4.039546966552734
50.0,1000.0,0.5,2344.847016337289,4.249002695083618
50.0,1000.0,1.0,2467.179728220189,4.753492116928101
100.0,5.0,0.001,4299.848020592132,0.04258894920349121
100.0,5.0,0.0025,4635.397154394175,0.038532257080078125
100.0,5.0,0.01,4483.568546766025,0.041047096252441406
100.0,5.0,0.1,4200.476744510688,0.042437076568603516
100.0,5.0,0.25,4772.049382031947,0.05017495155334473
100.0,5.0,0.5,4397.328835832058,0.048924922943115234
100.0,5.0,1.0,4460.643622831372,0.04736208915710449
100.0,10.0,0.001,3849.55214725569,0.07839798927307129
100.0,10.0,0.0025,4071.458235745107,0.0747840404510498
100.0,10.0,0.01,3986.0676491447625,0.07696199417114258
100.0,10.0,0.1,3919.2542073376867,0.09780621528625488
100.0,10.0,0.25,4138.745512072601,0.08350467681884766
100.0,10.0,0.5,4269.119190308366,0.09351992607116699
100.0,10.0,1.0,4296.490507658127,0.11469173431396484
100.0,25.0,0.001,3504.7315690423907,0.19571304321289062
100.0,25.0,0.0025,3462.2956054993865,0.2035200595855713
100.0,25.0,0.01,3411.380031673275,0.2216172218322754
100.0,25.0,0.1,3498.1691390769106,0.19106101989746094
100.0,25.0,0.25,3104.124977699793,0.20838570594787598
100.0,25.0,0.5,3098.7310041421056,0.2166740894317627
100.0,25.0,1.0,3798.1329665235926,0.2534630298614502
100.0,50.0,0.001,3322.6236789114137,0.40575575828552246
