size_pop,max_iter,prob_mut,T,alpha,best_distance,time
6,5,0.001,0.001,0.001,[5589.81476618],0.005860805511474609
6,5,0.001,0.001,0.0025,[5621.78973238],0.007081031799316406
6,5,0.001,0.001,0.01,[5581.35733501],0.010072946548461914
6,5,0.001,0.001,0.1,[4857.99585176],0.010375738143920898
6,5,0.001,0.001,0.25,[6067.87962708],0.026142358779907227
6,5,0.001,0.001,0.5,[5566.13279747],0.007513999938964844
6,5,0.001,0.001,1,[5711.84891699],0.011167764663696289
6,5,0.001,0.0025,0.001,[4358.05428354],0.012651920318603516
6,5,0.001,0.0025,0.0025,[6255.29306842],0.007756233215332031
6,5,0.001,0.0025,0.01,[4749.80400084],0.014496088027954102
6,5,0.001,0.0025,0.1,[5235.50335941],0.013404369354248047
6,5,0.001,0.0025,0.25,[5460.57485513],0.013730287551879883
6,5,0.001,0.0025,0.5,[5432.43803653],0.010596752166748047
6,5,0.001,0.0025,1,[4954.43256881],0.010300874710083008
6,5,0.001,0.01,0.001,[5244.24961763],0.011390209197998047
6,5,0.001,0.01,0.0025,[5287.80251972],0.025168180465698242
6,5,0.001,0.01,0.01,[4797.46961893],0.008567571640014648
6,5,0.001,0.01,0.1,[6247.22090933],0.019614458084106445
6,5,0.001,0.01,0.25,[5370.8964913],0.012929677963256836
6,5,0.001,0.01,0.5,[6028.32277753],0.008416414260864258
6,5,0.001,0.01,1,[4635.99240653],0.008336067199707031
6,5,0.001,0.1,0.001,[6245.8646567],0.008625507354736328
6,5,0.001,0.1,0.0025,[6000.50229837],0.010868310928344727
6,5,0.001,0.1,0.01,[5127.75558783],0.008200407028198242
6,5,0.001,0.1,0.1,[5659.16007966],0.0126495361328125
6,5,0.001,0.1,0.25,[5609.43395508],0.00906991958618164
6,5,0.001,0.1,0.5,[5907.17112914],0.011024236679077148
6,5,0.001,0.1,1,[5131.2451212],0.018609285354614258
6,5,0.001,0.25,0.001,[5999.4282037],0.00836634635925293
6,5,0.001,0.25,0.0025,[5975.16316852],0.0122528076171875
6,5,0.001,0.25,0.01,[5948.48363714],0.006166219711303711
6,5,0.001,0.25,0.1,[5858.84491505],0.017101764678955078
6,5,0.001,0.25,0.25,[6000.45674506],0.005930185317993164
6,5,0.001,0.25,0.5,[6117.20670697],0.008006572723388672
6,5,0.001,0.25,1,[5671.65835256],0.010127067565917969
6,5,0.001,0.5,0.001,[5417.76523299],0.022957563400268555
6,5,0.001,0.5,0.0025,[5387.81360187],0.00890970230102539
6,5,0.001,0.5,0.01,[6413.64396745],0.008008003234863281
6,5,0.001,0.5,0.1,[5683.70598688],0.007131814956665039
6,5,0.001,0.5,0.25,[5134.70853167],0.007723093032836914
6,5,0.001,0.5,0.5,[5815.20368748],0.008859872817993164
6,5,0.001,0.5,1,[5656.08561097],0.010508298873901367
6,5,0.001,0.75,0.001,[6351.53173277],0.00797581672668457
6,5,0.001,0.75,0.0025,[6214.80879418],0.010168790817260742
6,5,0.001,0.75,0.01,[5100.97327719],0.010772943496704102
6,5,0.001,0.75,0.1,[5387.60203276],0.015696287155151367
6,5,0.001,0.75,0.25,[6019.30091058],0.008151531219482422
6,5,0.001,0.75,0.5,[6501.78649965],0.01609969139099121
6,5,0.001,0.75,1,[6067.31099739],0.01482844352722168
6,5,0.001,1,0.001,[6041.46645642],0.021522045135498047
6,5,0.001,1,0.0025,[5490.95783038],0.01735377311706543
6,5,0.001,1,0.01,[6187.19235782],0.00870370864868164
6,5,0.001,1,0.1,[4998.0797103],0.006909370422363281
6,5,0.001,1,0.25,[5244.92708375],0.020175933837890625
6,5,0.001,1,0.5,[5758.35128578],0.008789300918579102
6,5,0.001,1,1,[5008.71489452],0.01296091079711914
6,5,0.0025,0.001,0.001,[5147.60765541],0.015056848526000977
6,5,0.0025,0.001,0.0025,[5397.7382853],0.008776664733886719
6,5,0.0025,0.001,0.01,[5407.80972921],0.012327909469604492
6,5,0.0025,0.001,0.1,[5845.04007157],0.005912065505981445
6,5,0.0025,0.001,0.25,[5246.57255776],0.008760452270507812
6,5,0.0025,0.001,0.5,[5371.91559],0.009191036224365234
6,5,0.0025,0.001,1,[5687.9800637],0.021611928939819336
6,5,0.0025,0.0025,0.001,[5649.53289779],0.006277561187744141
6,5,0.0025,0.0025,0.0025,[5409.01060107],0.010736942291259766
6,5,0.0025,0.0025,0.01,[5758.56856709],0.006906747817993164
6,5,0.0025,0.0025,0.1,[5118.71840064],0.00617218017578125
6,5,0.0025,0.0025,0.25,[5564.42943805],0.01831531524658203
6,5,0.0025,0.0025,0.5,[5702.9819205],0.014902114868164062
6,5,0.0025,0.0025,1,[5333.98515085],0.010201692581176758
6,5,0.0025,0.01,0.001,[5948.59177833],0.007975339889526367
6,5,0.0025,0.01,0.0025,[5559.03603182],0.01121664047241211
6,5,0.0025,0.01,0.01,[5007.52718575],0.008042097091674805
6,5,0.0025,0.01,0.1,[5763.91329204],0.013426780700683594
6,5,0.0025,0.01,0.25,[5283.70995866],0.00662684440612793
6,5,0.0025,0.01,0.5,[5789.77676718],0.00882101058959961
