target_00,target_01,target_02,target_03,target_04,target_05,target_06,target_07,target_08,target_09,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19
19,19,18,21,18,34,16,19,25,18,19,17,19,19,37,23,23,23,38,20
16,16,29,26,17,20,22,17,19,16,29,20,25,18,120,106,26,25,17,23
14,15,27,22,28,28,12,64,61,30,13,14,18,21,14,28,15,29,17,14
23,53,20,20,24,18,23,20,17,27,17,24,20,27,24,18,25,19,18,50
16,27,14,16,16,17,16,14,29,15,25,17,59,52,40,15,17,41,16,36
81,23,23,16,21,16,26,76,20,18,25,14,19,24,15,27,18,17,28,24
22,21,28,22,15,15,23,27,16,34,22,46,19,17,15,21,16,26,39,21
21,17,23,24,22,15,24,24,23,24,24,26,25,26,24,29,17,24,16,15
12,29,13,38,21,13,22,22,13,22,21,42,20,32,13,35,14,10,25,13
19,26,27,31,39,13,25,33,15,15,21,16,30,37,18,18,15,33,16,21
40,14,51,19,17,20,23,23,19,16,16,21,19,20,21,25,17,14,16,17
21,18,28,29,50,28,17,41,27,25,22,17,21,16,18,24,45,20,28,16
27,25,20,32,22,18,30,27,18,20,29,19,29,24,16,19,21,17,19,28
19,22,20,25,30,30,23,20,29,20,21,25,16,34,19,26,17,36,30,27
13,42,15,23,19,25,24,23,43,12,23,20,15,22,15,25,15,23,21,13
26,21,27,27,28,17,16,36,27,19,20,17,14,25,34,21,36,19,18,21
13,18,16,26,34,24,15,43,24,15,15,13,15,16,25,16,18,84,14,90
16,43,16,33,16,27,30,16,18,27,22,21,19,21,16,25,30,14,37,26
17,23,19,21,27,18,22,20,18,39,33,18,18,21,18,14,26,22,25,19
18,16,16,20,38,26,41,15,30,21,20,17,21,40,21,17,29,16,20,21
12,36,26,25,14,13,14,23,13,13,110,26,38,12,24,26,14,26,110,28
16,17,13,17,52,17,21,15,24,18,20,43,51,16,13,22,17,46,17,22
19,21,17,18,31,23,20,19,36,16,17,41,17,24,16,27,18,16,18,20
15,21,12,55,18,15,14,23,15,16,22,16,21,52,25,13,20,20,58,50
18,23,25,20,24,25,37,25,18,36,26,20,29,24,24,24,27,15,19,18
18,26,26,17,14,31,28,22,30,24,22,18,18,24,16,19,22,17,16,17
27,34,22,18,19,22,32,32,32,32,16,18,21,19,22,21,20,21,22,18
55,14,29,19,20,14,11,18,59,15,33,37,35,29,19,14,14,12,12,14
20,89,14,22,11,20,18,22,13,19,13,18,62,13,13,11,93,18,17,58
15,20,26,16,12,22,24,27,38,23,26,16,20,38,28,15,23,13,32,22
18,18,52,18,18,17,16,17,25,46,22,18,20,19,18,19,21,17,16,18
20,32,20,27,21,22,21,18,23,21,27,25,23,26,29,19,19,25,33,23
12,26,15,18,18,29,26,72,19,17,14,29,16,24,30,18,17,15,15,75
26,12,16,20,43,10,11,11,11,20,31,17,11,170,12,40,13,16,31,163
18,57,12,19,13,13,52,16,50,14,23,26,43,16,17,12,25,18,13,14
18,20,16,22,53,16,17,22,19,18,21,19,25,24,19,21,59,15,18,22
