target_00,target_01,target_02,target_03,target_04,target_05,target_06,target_07,target_08,target_09,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19
11,15,10,9,7,8,8,11,11,7,9,9,18,8,8,7,8,9,18,7
8,14,7,10,12,12,6,12,12,6,8,9,9,7,6,7,12,6,7,15
33,6,6,7,7,5,7,5,6,40,15,16,5,4,7,5,22,13,19,6
8,7,13,9,8,9,8,9,8,8,7,9,14,8,8,8,12,8,7,9
5,6,16,5,8,7,6,6,7,27,17,15,21,16,5,4,5,6,21,5
7,15,7,7,14,6,14,6,6,13,15,9,6,13,8,8,16,6,7,8
16,7,6,15,7,8,6,19,7,10,8,7,10,43,8,45,6,7,7,7
11,7,9,9,8,9,8,10,6,6,8,10,8,9,7,7,7,9,8,11
10,10,9,6,13,9,9,5,10,10,9,5,9,9,4,5,12,9,10,10
6,6,9,15,5,10,6,15,9,9,3,16,4,6,9,9,5,8,6,7
10,10,12,12,7,23,12,23,13,24,7,7,3,5,11,46,6,6,10,6
7,42,15,3,6,15,29,7,7,7,7,7,7,29,83,14,6,6,3,6
4,11,6,11,9,11,10,9,9,12,23,11,9,9,11,9,5,11,4,22
8,4,6,6,5,15,8,3,6,11,14,7,13,10,6,11,7,5,15,8
9,7,9,6,5,4,11,10,17,7,7,9,8,3,8,11,17,8,6,6
