target_00,target_01,target_02,target_03,target_04,target_05,target_06,target_07,target_08,target_09,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19
10,5,7,10,8,6,8,9,5,9,10,28,12,7,13,9,9,4,55,13
4,6,9,12,5,13,9,10,13,10,6,13,13,13,10,12,8,8,8,25
8,4,5,10,20,21,13,7,13,10,13,10,9,9,9,5,10,9,9,11
9,9,9,9,10,10,10,6,10,5,5,10,11,12,9,5,10,11,10,21
6,13,12,6,7,13,13,13,3,14,6,13,23,6,6,14,7,6,13,6
13,6,6,6,5,5,7,16,7,3,13,33,7,7,4,14,5,7,5,27
9,11,3,9,17,5,18,18,6,24,6,12,5,5,11,5,23,11,5,18
7,4,12,10,11,7,47,13,8,10,24,10,5,10,11,6,5,7,12,11
25,6,9,24,3,5,8,6,12,5,10,8,5,5,15,15,16,9,5,15
8,11,13,13,12,13,5,10,17,17,10,10,12,10,7,17,6,16,8,12
9,10,13,4,8,9,5,15,10,4,29,9,10,13,6,9,8,9,8,9
11,6,5,21,6,7,5,7,6,6,23,3,6,12,6,13,7,6,14,3
6,6,6,13,3,12,5,6,6,13,13,5,15,6,5,13,12,26,16,8
8,15,8,9,8,9,11,9,7,6,16,8,16,4,11,8,9,11,4,15
8,3,7,10,11,11,7,4,8,22,5,7,11,7,8,8,6,33,9,16
8,6,7,9,10,8,7,20,17,10,9,7,17,3,7,5,4,10,40,8
8,8,7,8,11,17,8,6,6,11,4,6,11,13,12,11,13,8,11,17
9,11,9,7,14,7,6,6,9,7,12,5,7,7,13,14,18,9,3,11
5,6,12,9,7,10,9,10,10,13,14,13,14,10,10,10,9,13,5,6
9,7,26,8,13,5,19,7,7,7,3,7,7,10,4,6,18,9,9,7
