target_00,target_01,target_02,target_03,target_04,target_05,target_06,target_07,target_08,target_09,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19
11,11,11,8,12,11,17,12,8,12,11,6,11,6,8,4,5,8,17,9
5,17,10,11,13,12,10,6,10,9,13,6,17,9,5,11,9,13,12,9
4,5,11,5,7,10,8,8,10,8,7,16,6,11,10,11,7,11,10,16
25,12,4,8,7,8,7,22,8,7,11,3,8,8,6,8,7,7,4,7
6,7,15,15,7,23,6,12,3,8,8,8,7,6,11,12,4,8,9,12
5,18,7,23,9,9,4,18,10,9,7,12,9,9,8,9,4,7,9,9
43,10,4,16,8,8,5,8,8,8,8,8,16,21,10,7,7,10,7,4
16,8,7,4,7,16,3,16,8,41,7,7,20,7,16,7,7,8,8,7
13,8,7,5,12,12,6,13,11,11,8,11,12,8,13,11,10,6,6,4
7,8,9,6,8,7,12,15,6,4,12,16,3,17,8,8,6,8,7,17
4,9,4,9,9,9,8,9,8,8,5,35,9,9,9,17,8,8,8,4
15,6,10,7,8,8,5,6,4,9,3,6,7,9,8,9,16,54,27,9
6,23,6,6,9,12,7,12,10,12,3,9,11,5,10,6,10,19,7,6
33,6,10,6,15,11,12,7,8,9,7,10,11,3,10,6,5,17,6,16
8,7,11,8,10,13,10,11,29,8,14,14,29,11,9,4,15,10,5,5
5,9,10,8,10,4,13,7,5,8,13,7,10,10,10,10,40,20,10,7
5,2,5,7,5,11,7,5,7,5,3,21,5,7,11,11,11,27,5,13
12,15,12,9,15,7,12,9,8,8,15,6,13,13,13,13,8,16,6,4
6,6,3,6,5,3,39,6,5,5,7,49,7,7,19,6,34,7,17,24
9,10,11,10,11,5,11,13,10,5,9,10,10,13,5,11,11,6,10,6
5,9,9,6,13,11,56,9,13,9,4,10,28,13,11,11,9,8,9,6
8,4,15,24,15,4,8,12,8,7,9,7,8,17,7,18,7,8,7,8
21,13,13,12,21,13,6,11,8,9,9,11,6,13,7,9,13,11,11,4
14,12,7,13,7,4,7,12,12,17,6,15,13,9,12,7,17,7,6,12
9,7,4,14,7,12,13,8,12,6,17,7,13,8,7,18,8,4,7,7
11,5,11,9,7,16,9,9,9,6,6,6,8,7,11,9,16,9,3,5
4,14,8,12,18,9,7,8,12,6,7,18,7,8,8,4,7,14,7,9
18,9,5,6,10,17,12,5,10,12,4,9,8,7,8,10,7,9,7,10
