target_00,target_01,target_02,target_03,target_04,target_05,target_06,target_07,target_08,target_09,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19
13,6,6,13,17,17,8,6,5,7,7,9,5,8,7,3,5,4,16,17
2,5,8,5,9,21,21,15,5,13,15,4,5,8,5,8,13,5,10,7
17,4,7,8,7,7,6,7,52,7,7,26,6,8,3,9,3,7,6,7
13,10,5,9,12,2,8,11,5,5,9,27,4,6,4,5,5,10,5,13
7,9,6,6,4,13,3,6,33,7,16,7,9,5,3,7,9,13,5,5
5,27,5,6,5,6,6,3,3,35,13,17,5,12,12,13,5,6,5,6
9,5,107,7,7,4,8,3,7,9,53,7,11,9,8,9,5,10,7,9
5,3,6,6,5,3,15,6,22,15,15,5,15,7,6,7,11,6,5,5
3,5,4,4,5,2,11,5,2,11,4,5,17,6,11,9,5,11,4,5
5,10,5,5,5,3,6,6,6,39,5,4,7,7,3,6,10,5,7,19
5,5,22,4,7,5,19,5,5,6,5,6,10,7,3,3,5,7,7,11
4,126,4,4,4,5,4,4,9,8,2,8,63,22,10,8,7,11,4,3
7,6,4,7,17,9,6,7,10,6,9,9,3,7,3,5,5,6,6,7
3,4,8,6,11,5,5,6,5,4,9,11,13,13,6,9,5,9,8,8
3,13,5,3,9,4,6,6,9,6,7,12,6,6,12,8,6,6,12,7
7,12,3,8,8,4,11,7,11,8,8,7,7,12,6,6,8,7,6,4
4,12,5,7,7,9,7,7,7,6,3,3,11,9,6,7,7,6,6,9
5,12,9,9,9,5,6,9,7,6,6,7,11,7,9,26,3,9,13,26
13,4,4,5,5,11,2,4,6,4,4,10,11,9,4,8,8,4,11,13
29,7,55,15,6,7,5,3,7,8,6,7,7,4,7,6,27,6,6,3
4,2,5,4,9,8,15,12,6,9,9,5,35,4,12,5,15,5,17,11
