target_00,target_01,target_02,target_03,target_04,target_05,target_06,target_07,target_08,target_09,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19
7,7,7,15,31,6,8,6,4,17,18,7,3,6,9,7,15,6,5,15
5,15,13,5,7,26,5,5,5,6,14,13,5,31,14,5,12,2,5,12
11,7,11,15,9,40,7,7,9,10,81,5,8,7,10,15,5,7,4,10
9,6,5,10,5,4,5,11,21,5,5,9,9,6,9,11,3,5,10,10
5,8,4,11,9,7,10,9,10,10,10,4,45,7,22,10,5,11,8,8
8,10,8,7,8,19,7,4,21,7,7,7,4,7,7,8,7,11,7,4
7,8,38,8,7,15,8,19,7,6,27,4,6,39,6,14,8,7,3,14
3,12,13,27,4,13,8,6,6,6,9,7,6,6,8,9,9,5,11,13
3,5,5,9,10,10,6,6,6,9,9,19,6,9,6,9,11,4,11,19
106,7,14,13,6,9,6,9,3,213,4,9,13,6,7,6,6,9,13,6
11,12,7,13,6,7,7,25,10,7,7,12,13,3,5,11,26,6,9,11
6,9,10,9,9,4,9,4,12,8,9,9,10,5,9,7,5,7,9,13
15,8,9,19,3,7,8,9,20,7,7,4,15,20,10,19,15,7,9,9
12,12,8,6,7,10,13,10,13,7,11,10,12,6,8,11,12,5,4,7
13,8,4,7,8,13,7,20,7,10,7,4,6,8,3,13,20,8,6,8
11,5,6,9,25,5,9,6,11,13,9,4,3,6,11,6,13,6,13,7
5,5,9,2,9,9,5,5,4,27,5,12,14,9,25,5,5,9,5,9
6,5,11,7,9,14,10,10,12,15,9,11,10,14,9,5,10,5,10,9
9,11,5,7,11,13,21,7,9,7,7,8,22,11,6,11,5,13,9,4
39,12,8,6,13,12,20,8,7,5,13,7,4,6,9,9,9,8,12,12
4,7,7,21,3,6,7,4,8,8,9,7,42,8,7,15,6,7,7,14
5,5,6,11,7,3,4,8,6,4,8,6,6,8,6,11,13,8,12,7
10,13,17,5,12,8,9,11,9,6,5,17,11,17,9,10,5,9,13,9
7,12,12,3,8,9,7,6,29,12,7,8,6,6,4,12,15,13,11,6
19,9,9,9,19,11,10,10,9,9,4,9,9,10,9,5,5,5,11,11
15,15,5,3,18,10,19,6,8,10,5,17,5,17,11,6,9,6,8,5
9,11,9,10,11,11,11,6,11,11,4,9,5,15,9,11,8,15,21,12
3,11,6,5,7,13,10,6,10,9,9,7,5,9,11,5,10,10,25,11
13,9,8,4,4,9,9,6,12,13,71,12,11,8,8,36,8,8,8,6
9,10,8,8,11,8,8,8,7,10,7,12,4,16,5,6,7,11,9,4
6,7,11,6,6,4,21,13,8,13,3,8,5,11,6,7,11,8,13,11
8,5,5,8,31,11,5,4,5,7,2,16,12,8,11,7,6,5,5,23
4,5,6,7,19,9,10,6,10,6,10,53,9,6,9,26,10,9,3,9
11,10,11,11,4,8,7,11,8,5,15,15,6,15,11,10,16,7,7,7
7,23,7,11,4,7,10,7,9,6,7,9,9,9,5,9,13,4,12,9
6,10,6,11,15,11,3,12,6,15,8,16,8,11,5,6,5,16,20,19
4,9,8,7,25,8,8,9,8,7,7,10,11,5,8,9,12,9,5,4
5,5,10,6,5,5,11,11,58,6,12,11,11,5,11,11,5,115,3,5
5,6,11,14,5,13,5,5,10,11,7,15,5,19,13,5,3,5,10,7
8,4,8,4,9,7,8,4,4,9,8,23,9,7,9,7,8,11,9,8
8,6,13,13,11,4,13,14,12,7,10,6,11,13,7,14,7,13,7,5
7,5,8,8,5,20,10,3,7,5,21,21,19,4,5,17,5,11,35,5
4,7,7,7,4,7,13,14,7,8,8,7,13,24,13,25,7,8,7,12
7,4,9,7,7,10,48,14,7,8,5,13,10,7,8,11,24,3,9,13
